회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),연구개발비(IFRS),매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
일진홀딩스(주),015860,2019/12,5070,51.53,19.06,1.3,0.48,47.48,17.56,51.95,19.21,73.75,2.49,274959910,6214719,2775298,0,6164606,3389308
일진홀딩스(주),015860,2020/12,5560,59.84,16.09,1.37,0.37,73.53,19.77,50.19,13.5,68.29,2.25,274684930,5673506,2634646,0,6763915,4129270
일진홀딩스(주),015860,2021/12,5480,101.87,51.89,1.93,0.98,108.35,55.19,55.97,28.51,50.98,1.84,274823547,4635998,2946538,0,8437395,5490857
일진홀딩스(주),015860,2022/12,3820,48.64,23.69,1.54,0.75,50.01,24.36,32.74,15.94,24.8,3.09,277170689,7811921,3542164,0,11606005,8063841
자이에스앤디(주),317400,2017/12,,,,,,,,,,,,,,,,,
자이에스앤디(주),317400,2018/12,,0,0,0,0,0,0,0,0,-1.15,28.04,137743928,10716038,9631737,0,212696333,14498009
자이에스앤디(주),317400,2019/12,5710,1.3,0.93,0.12,0.08,0.71,0.51,0.06,0.04,5.32,13.56,278480541,12432811,12393745,0,277945339,16473465
자이에스앤디(주),317400,2020/12,12550,17.16,3.57,2.32,0.48,27.67,5.76,1.01,0.21,12.84,13.59,413286395,20910064,12026559,0,356212405,27342268
자이에스앤디(주),317400,2021/12,9250,13.9,8.07,1.74,1.01,4.77,2.77,1.17,0.68,5.16,15.66,540034517,36537411,13546980,94030,435730829,50822721
자이에스앤디(주),317400,2022/12,6030,6.5,3.66,1.05,0.59,28.44,15.99,0.8,0.45,1.04,18.75,753639957,72515496,13741204,132017,589689077,92750362
자화전자(주),033240,2017/12,26650,29.56,15.68,2.04,1.08,16.92,8.97,1.13,0.6,25.09,6.83,386408099,17926139,55866787,35003915,469513980,12174683
자화전자(주),033240,2018/12,11800,571.57,195.38,2.04,0.7,0,0,1.53,0.52,0,0.35,331501897,920729,49332081,34552619,343522700,-7988953
자화전자(주),033240,2019/12,10600,22.49,12.59,0.99,0.56,0,0,0.73,0.41,9.3,4.46,335195830,11939295,44905635,29579403,368553801,9584898
자화전자(주),033240,2020/12,22800,0,0,1.53,0.29,0,0,1.65,0.31,0,-1.63,345080302,-4432461,42444252,27272001,249070668,-10947333
자화전자(주),033240,2021/12,25050,40.97,20.37,1.79,0.89,26.68,13.27,1.72,0.85,21.09,4.45,419071823,12344050,43763769,21948367,294302594,15795131
자화전자(주),033240,2022/12,21250,0,0,2.15,1.03,75.53,36.31,2.86,1.38,0,-11.2,468154329,-34544542,62151092,33017306,247111659,-10926219
전방(주),000950,2017/12,19300,0,0,0.39,0.22,0,0,0.34,0.19,0,-8.17,415416623,-12793940,6242571,0,173281882,-15664372
전방(주),000950,2018/12,17150,0,0,0.41,0.21,0,0,0.35,0.18,65.96,-15.91,367144361,-22028081,5838696,0,148807196,-8405644
전방(주),000950,2019/12,15350,0,0,0.26,0.18,0,0,0.25,0.17,0,-31.82,388742852,-41291199,8483679,0,136971470,-30283059
전방(주),000950,2020/12,29850,9.02,2.09,0.5,0.11,0,0,0.66,0.15,0,5.65,374048025,7700916,4998342,0,104767955,-17683209
전방(주),000950,2021/12,40200,279.07,176.83,0.54,0.34,0,0,0.58,0.37,13.34,0.2,383061566,279323,5457622,0,133745227,7568332
전방(주),000950,2022/12,44450,2.15,0.9,0.7,0.29,0,0,1.17,0.49,0,38.33,304909327,67884740,5962942,0,124914049,-35032369
제이더블유생명과학(주),234080,2017/12,42100,22.93,13.25,4.21,2.43,15.59,9.01,2.57,1.49,11.81,17.16,193138331,15657527,12365924,370540,139589961,22437149
제이더블유생명과학(주),234080,2018/12,21950,35.91,10.37,6.07,1.75,16.09,4.65,3.66,1.06,11.63,15.21,193040377,15190382,14412736,1178424,148855701,22810980
제이더블유생명과학(주),234080,2019/12,19800,22.27,13.06,4.72,2.77,19.92,11.68,2.98,1.75,8.49,20.03,194214530,22006404,16985947,3572955,164559283,29832307
제이더블유생명과학(주),234080,2020/12,20750,25.17,10.08,3.66,1.46,9.31,3.73,2.31,0.93,7.26,13.55,207798832,16419280,18341593,5165851,178530625,38416802
제이더블유생명과학(주),234080,2021/12,13850,21.99,12.73,3.19,1.85,13.25,7.67,2.27,1.31,6.57,13.31,215979644,16918471,18974665,6126407,164109162,27277575
제이더블유생명과학(주),234080,2022/12,12150,12.93,9.13,1.91,1.35,18.25,12.89,1.34,0.95,6.34,14.21,254329814,19163516,19573089,5658135,184874804,26315611
